title,rating,room_type,price
Hotel Airport City,7.8,Deluxe Double Room,2100
OYO 82718 Hotel Stay House,1.5,Standard Double Room,493
Hotel Krone Near IGI Airport,7.9,Deluxe Room,684
Hotel Tara Palace Daryaganj,7.2,Deluxe Room,2800
Hotel Le Roi,6.9,Deluxe Double Room,2252
The Metropolitan Hotel & Spa New Delhi,7.4,"Superior Double Room Inclusive of Wi-Fi,  20% off on food & soft beverages",9000
Treebo Trend Paras International Karol Bagh,7.3,Standard Double Room,1669
Hotel Saffron Gold,8.4,Double Room with Private Bathroom,2267
The Grand Vikalp by Orion Hotels,7.1,Deluxe Double or Twin Room,3217
Airport Hotel Olive & Blue,8.0,Standard Double Room,2069
Hotel Sunstar Grand,7.8,Deluxe Double or Twin Room,2600
Hotel Sunstar Heritage,7.9,Deluxe Room,3100
Hotel Trans International - Near Delhi Airport,7.3,Classic Room,3919
Hotel HSP Suites,8.0,Deluxe Double Room,1539
Royale Connaught Retreat,6.9,Deluxe Suite,2499
Treebo Trend Galaxy Rooms,8.3,Standard Double Room,1565
The Dream House,8.3,Deluxe Room,2000
legends stay,10,Deluxe Room,900
Hotel Smart Inn Near Delhi Airport,7.8,Deluxe Room,895
FabHotel F9 Pitampura,8.5,Deluxe Room,2103
Hotel Imperial Villa,7.4,Deluxe Double Room,2295
The Oakland Plaza by Orion Hotels,7.0,Deluxe Double or Twin Room,2729
FabHotel Exotica Greenpark - Fully Vaccinated Staff,7.5,Deluxe Double Room,3109
Hotel Shelton,7.3,Semi Deluxe ,1499
Hotel De Cruise - New Delhi Railway Station,6.4,Deluxe Room,2889
UDS Villa B&B,7.3,Deluxe Double Room with Balcony,4400
FabHotel Golden Stay,4.6,Deluxe Room,1460
Treebo Trend Hotel Elite,7.1,Deluxe Double Room,2037
The Prime Balaji Deluxe @ New Delhi Railway Station,7.9,Deluxe Double or Twin Room,3500
Staybook - ShivDev International New Delhi,7.9,Day Use Room Strictly for 5 hours ( 12PM to 7 PM ),899
"Eros Hotel New Delhi, Nehru Place",7.4,"Superior Room with free Wi-Fi, 15 % discount on food and soft beverages",8640
Mother Palace,8.0,Standard Double Room with Fan,850
JRD Pride-Fully Vaccinated Staff,7.1,Superior Double or Twin Room with complimentary Hi Tea from 04pm till 06pm,5538
Hotel Shanti Palace Mahipalpur,6.8,Standard  Double Room with 20% discount on food and soft beverage,5238
Ahuja Residency Sunder Nagar,7.7,Deluxe Double or Twin Room,6600
Joey's Hostel,8.3,Deluxe Double Room,2429
Zaza Stay,8.9,Deluxe Double or Twin Room with Balcony,4000
The Taj Mahal Hotel New Delhi,8.7,Taj Club Executive Room(Renovated) King Bed,30000
The Ashtan Sarovar Portico,7.6,Superior Double or Twin Room,6399
Hotel Wti Airport,7.0,Deluxe Twin Room,4000
"City Empire, New Delhi",8.2,Superior Double/Twin,2070
M1 Hotel By WB Inn,1.0,Deluxe Room,2560
Bungalow 99,9.6,Double Room with Balcony,9999
SPOT ON 61091 Hotel Silver Palace Dx,4.3,Standard Double Room with Fan,568
"Sailors Home - C6, Vasant Kunj",7.5,Queen Room,2000
Gallivanto Inn,8.9,Budget Double Room,2025
Skylink Suites Bed & Breakfast,7.7,Luxury Double Room,2500
FabExpress City Stories 2,8.4,Deluxe Room,1503
Townhouse OAK Hotel South Prime,1.0,Classic Triple Room,719
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",7.2,Deluxe Double Room,5920
Hotel GODWIN DELUXE With RESTAURANT AND FREE STREET PARKING ONSITE in PAHARGANJ,7.2,Standard Double Room,3086
Aashianaa Gracious Living,9.0,Superior King Room,4347
Hotel Delhi Aerocity,7.5,Standard Deluxe Room,1526
Avanti Tenantry,7.8,Studio Apartment,5400
Hotel Citizen New Delhi,7.7,Deluxe Room,4094
Zostel Delhi,7.3,Standard Double Room,1999
CASA CENTRAL,9.0,Family Suite,2131
FabHotel Qotel Chattarpur,4.4,Deluxe Room,1405
FabHotel Aashraye - Fully Vaccinated Staff,7.4,(Sanitised) Deluxe Room,2220
Orania B & B by Atsar,7.8,Superior Double or Twin Room,3831
Hotel Aura,7.5,Standard Room,2569
FabHotel Grand Boutique,7.1,Deluxe Room,2103
FabExpress Le Continental,7.2,Deluxe Room,1754
OYO 45772 Silver Residency,10,Deluxe Triple Room,682
Hotel GoodLuck House Near Delhi Airport,7.9,Deluxe Double Room,1080
Hotel Superb 5 Mins Walk From New Delhi Station,7.1,Deluxe Double or Twin Room,2699
FabHotel Qotel Jasola,7.3,Deluxe Room,2220
Golden Leaf Hotel,7.6,Deluxe Double Room,3400
The Prime Delhi,8.7,Superior Double or Twin Room,2900
Hotel Ivory 32,7.2,Executive Room,3500
Shree Balaji Dx By WB Inn,1.0,Double Room,1349
Hotel Blue Bell,7.0,Executive Double or Twin Room,1852
"AB HOTEL - Hotel Amar ITL - STREET NO 7 - CHUNA MANDI, PAHAR GANJ",8.2,Standard Double Room,1128
Hotel Red Chilly,7.1,Deluxe Double Room,2397
Hotel Earth,7.0,Deluxe Double Room,855
Hotel Mohan International,7.3,Deluxe Double Room,2079
Airport Hotel Mayank Residency,7.6,Deluxe Double Room,900
Hotel Red Coral By F9 Hotels,8.3,Standard Double Room,1385
FabHotel White House BNB,9.0,Deluxe Room,2805
"Aerocity Hotel Jindal Palace IGI Airport Delhi- A Well Hygiene Property""All Staff Vaccinated """,8.4,Deluxe Double Room,1195
"Hotel Kabeer Deluxe "" 3 Min Walking from New Delhi Railway Station """,7.5,Deluxe Room,2990
"Cosy Grand, Near Chanakyapuri, Embassy Area",7.8,Deluxe Double or Twin Room,4717
Svelte Hotel and Personal Suites,6.3,Superior Double Room,7199
Staybook - Hotel Pinky Villa,8.1,Standard Heritage Room,1423
Hotel Lotus Suites at Delhi Airport,8.0,Deluxe Family Room,1169
Hindustan International Dx,6.9,Deluxe Room,1782
"Four Points by Sheraton New Delhi, Airport Highway",7.9,Comfort Room With 25% discount on food and Soft Beverage,7200
"HOTEL ALL IZ WELL-Paharganj,Delhi",6.7,Deluxe Double Room,1680
J House near Bhikaji,8.7,Budget Double Room,2520
Hotel Krishna - By RCG Hotels,8.0,Deluxe Double or Twin Room,3600
Hotel Sweet Home DX,7.0,Standard Double Room with Fan,1236
FabHotel Lime Tree,6.7,Deluxe Room,1286
Hotel Grand Belwood Near Delhi Airport,6.9,Deluxe Double Room (2 Adults + 1 Child),1525
Hotel Shanti Villa,8.0,Deluxe Room,3000
Capital O 89538 Hotel The Royal Orbit,,Classic Triple Room,628
NUO By juSTa,7.4,Standard King Room,10000
"Foxoso Hotel, Delhi Airport",7.2,Deluxe Room,3599
Treebo Trend The Kings Plaza Naraina Vihar,7.0,Standard Double Room,1999
OYO 81119 Hotel Prince,2.3,Classic Triple Room,473
HOTEL PRIMELAND,7.4,Deluxe Room,3100
Cameo art house -home stays Vasant Vihar New Delhi,8.6,Deluxe Room,4500
Eleven,8.7,Standard Double Room,5500
OYO 75317 Hotel Orchid Blu,6.2,Classic Triple Room,1017
Hotel Almora Near Delhi Airport,6.9,Deluxe Double Room,4500
Kaisons Inn (Near Apollo Hospital),6.9,Deluxe Double Room,4099
AIRPORT Hotel prime plaza,7.2,Deluxe Room,539
OYO 82300 Discovery Inn,4.8,Classic Triple Room,479
Hotel REPOSE SUITES Near New Delhi Railway Station,7.6,Deluxe Double Room (2 Adults + 1 Child),1550
Treebo Trend Prime Stay Rohini,7.1,Double Room,1799
Hotel Vivah Residency Couple Friendly Pashim Vihar,6.0,Deluxe Double Room,1799
Treebo Tryst Relax Inn Patel Nagar,7.1,Deluxe Double Room,3102
FabHotel Aries Delhi Airport,7.5,Deluxe Double Room,1752
Moustache Delhi,8.7,Superior Double Room,3602
Aravali Inn,9.0,Deluxe Double Room with Shower,1169
Hotel The Magic Tree - Paharganj New Delhi,8.7,Deluxe Double Room,2749
Hotel The Caves IGI Airport Delhi,6.4,Deluxe King Room,684
Hotel Shiva Intercontinental,7.8,Standard Double Room,1143
Hotel Raj Palace Mahipalpur Near IGI Airport Delhi,8.6,Deluxe Room,2361
The Stay Inn New Delhi,8.9,Standard Double or Twin Room,3500
Vishal Hotel G H,5.0,Standard Double or Twin Room,765
Capital O 84215 The Chaitanya's,4.9,Classic Triple Room,805
FabHotel Admire Suites,7.0,Deluxe Room,3269
Anand Bhawan,8.3,Deluxe Queen Room,2904
Hotel Shri Vinayak at New Delhi Railway Station-By RCG Hotels,8.4,Standard Double Room,2699
Airport Hotel Moody Moon,5.4,Deluxe Double Room,599
Hotel Nature View near Green Park Metro - Couple Friendly Local IDs Accepted,6.9,Deluxe Double Room,2548
The Lodhi – A member of The Leading Hotels Of The World,8.5,Lodhi Double Room with Plunge Pool with complimentary spa credit worth INR 1200,34420
Apt# ONE-FOUR-TWO - with Lift - High Speed Wifi - Smart TV,8.9,One-Bedroom Apartment,4595
Jaypee Siddharth,6.2,Deluxe Double or Twin Room,6799
HOTEL THE GLORY - Near New Delhi Airport,7.4,Deluxe Double Room,923
"Airport Hotel Grand, New Delhi",6.1,Deluxe Room,1499
J P House,,Executive Suite,9999
OYO 90747 Dream Palace,1.8,Classic Triple Room,637
Hotel Sunshine,6.8,Non AC Double Room,900
Comfort Stay - Premium Stay Group,9.0,Standard Double Room,1169
Hotel Raj Hans Dx,4.6,Deluxe King Room,510
Sarovar Portico Surajkund,5.3,Superior Double or Twin Room,3200
Hotel JRD Exotica-Fully Vaccinated Staff,6.3,Superior Twin Room with complimentary Hi Tea from 04pm till 06pm,5500
Staybook Hotel Geeson- New Delhi Railway Station,8.3,Deluxe Double Room,2184
"Lemon Tree Premier, Delhi Airport",7.0,Superior Queen Room,8059
Hotel Town Grand,8.3,Deluxe Double Room with Two Double Beds,4050
Hotel Le Mount,8.9,Deluxe Double Room,1709
Hotel Krishna Plaza - 5 min walk from New Delhi Railway Station,7.2,Deluxe Room,2279
Hotel Ritz,8.4,Deluxe Room,3150
FabHotel The Chaitanyas,4.9,Deluxe Room,1752
Kuldeep Friends Hostel- New Delhi Train Station,7.5,Deluxe Double Room,1575
OYO Flagship 90606 Jps The Town,,Classic Triple Room,611
HOTEL DELHI 55 @ NEW DELHI RAILWAY STATION,7.2,Deluxe Double Room,2291
The Grand New Delhi,6.0,Premium Double or Twin Room with 20% discount on food and soft beverage; Early check in at 11.00 AM; Late check out till 15.00 PM,9000
Hotel Parck palace,10,Deluxe Double Room,728
Hotel Sunstar Residency,7.5,Small Double Room,2000
OYO Flagship 80101 Mohit Plaza,1.0,Classic Triple Room,636
FabHotel F9 Lajpat Nagar,9.5,Deluxe Room,2804
Hotel Dev Residency Near IGI Airport Delhi,8.6,Deluxe Double Room,2996
